2020-04-11 11:17:40, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.265e-05, 	18.0, 	0.220751%, 	0.190000%, 	0.030751%
2020-04-11 11:17:55, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.265e-05, 	13.0, 	0.220751%, 	0.190000%, 	0.030751%
2020-04-11 11:18:10, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.265e-05, 	13.0, 	0.220751%, 	0.190000%, 	0.030751%
2020-04-11 11:18:25, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.265e-05, 	13.0, 	0.220751%, 	0.190000%, 	0.030751%
2020-04-11 11:18:40, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.265e-05, 	13.0, 	0.220751%, 	0.190000%, 	0.030751%
2020-04-11 11:18:55, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.265e-05, 	13.0, 	0.220751%, 	0.190000%, 	0.030751%
2020-04-11 11:19:10, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.265e-05, 	13.0, 	0.220751%, 	0.190000%, 	0.030751%
2020-04-11 11:19:25, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.265e-05, 	13.0, 	0.220751%, 	0.190000%, 	0.030751%
2020-04-11 11:19:40, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.265e-05, 	13.0, 	0.220751%, 	0.190000%, 	0.030751%
2020-04-11 11:19:55, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.265e-05, 	13.0, 	0.220751%, 	0.190000%, 	0.030751%
2020-04-11 11:20:10, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.265e-05, 	13.0, 	0.220751%, 	0.190000%, 	0.030751%
