2020-04-08 18:34:28, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	80.725, 	0.00079352, 	625.515932, 	0.816615%, 	0.460000%, 	0.356615%
2020-04-08 18:34:43, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	80.725, 	0.00079328, 	67.93386491, 	0.847116%, 	0.460000%, 	0.387116%
2020-04-08 18:34:58, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	61.567, 	0.00079316, 	359.88390063, 	0.862373%, 	0.460000%, 	0.402373%
2020-04-08 18:35:13, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	22.261, 	0.00079328, 	62.39536411, 	0.847116%, 	0.460000%, 	0.387116%
2020-04-08 18:35:28, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	22.261, 	0.00079328, 	266.7914376, 	0.847116%, 	0.460000%, 	0.387116%
2020-04-08 18:35:43, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	22.261, 	0.00079322, 	89.90914878, 	0.854744%, 	0.460000%, 	0.394744%
2020-04-08 18:35:58, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	22.261, 	0.00079312, 	359.91263286, 	0.867460%, 	0.460000%, 	0.407460%
2020-04-08 18:36:13, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	22.261, 	0.00079303, 	40.62838683, 	0.878907%, 	0.460000%, 	0.418907%
2020-04-08 18:36:28, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	80.725, 	0.00079288, 	131.08419963, 	0.897992%, 	0.460000%, 	0.437992%
2020-04-08 18:36:43, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	80.725, 	0.00079264, 	230.664623, 	0.928543%, 	0.460000%, 	0.468543%
2020-04-08 18:36:58, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	59.425, 	0.00079241, 	43.90981941, 	0.957837%, 	0.460000%, 	0.497837%
2020-04-08 18:37:13, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	9.167, 	0.00079231, 	85.23991729, 	0.970580%, 	0.460000%, 	0.510580%
2020-04-08 18:37:28, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079228, 	30.00476234, 	0.974403%, 	0.460000%, 	0.514403%
2020-04-08 18:37:43, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079278, 	31.61316286, 	0.910719%, 	0.460000%, 	0.450719%
2020-04-08 18:37:58, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	31.061, 	0.00079272, 	59.9775313, 	0.918357%, 	0.460000%, 	0.458357%
2020-04-08 18:38:13, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	26.967, 	0.00079272, 	59.9775313, 	0.918357%, 	0.460000%, 	0.458357%
2020-04-08 18:38:28, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079271, 	337.90123438, 	0.919630%, 	0.460000%, 	0.459630%
2020-04-08 18:38:43, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	59.425, 	0.00079264, 	59.95759447, 	0.928543%, 	0.460000%, 	0.468543%
2020-04-08 18:38:58, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079264, 	270.58142877, 	0.928543%, 	0.460000%, 	0.468543%
2020-04-08 18:39:13, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079264, 	226.36870615, 	0.928543%, 	0.460000%, 	0.468543%
2020-04-08 18:39:28, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079233, 	3091.61031653, 	0.968031%, 	0.460000%, 	0.508031%
2020-04-08 18:39:43, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079194, 	80.0, 	1.017754%, 	0.460000%, 	0.557754%
2020-04-08 18:39:58, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079182, 	727.06509159, 	1.033063%, 	0.460000%, 	0.573063%
2020-04-08 18:40:13, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079185, 	29.99202381, 	1.029235%, 	0.460000%, 	0.569235%
2020-04-08 18:40:28, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079223, 	1482.44802671, 	0.980776%, 	0.460000%, 	0.520776%
2020-04-08 18:40:43, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	23.461, 	0.0007926, 	29.97242474, 	0.933636%, 	0.460000%, 	0.473636%
2020-04-08 18:40:58, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	23.461, 	0.0007926, 	29.97242474, 	0.933636%, 	0.460000%, 	0.473636%
2020-04-08 18:41:13, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	81.925, 	0.00079408, 	77.0202255, 	0.745517%, 	0.460000%, 	0.285517%
2020-04-08 18:41:28, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	76.067, 	0.00079409, 	71.93651678, 	0.744248%, 	0.460000%, 	0.284248%
2020-04-08 18:41:43, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	76.067, 	0.00079374, 	61.39785011, 	0.788671%, 	0.460000%, 	0.328671%
2020-04-08 18:41:58, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000801, 	79.291, 	0.0007936, 	51.08256468, 	0.932460%, 	0.460000%, 	0.472460%
2020-04-08 18:42:13, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000801, 	79.291, 	0.00079362, 	59.92666194, 	0.929916%, 	0.460000%, 	0.469916%
2020-04-08 18:42:28, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	81.925, 	0.00079354, 	98.541027, 	0.814074%, 	0.460000%, 	0.354074%
2020-04-08 18:42:43, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	81.925, 	0.00079342, 	58.54242303, 	0.829321%, 	0.460000%, 	0.369321%
2020-04-08 18:42:58, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	81.925, 	0.00079344, 	80.0, 	0.826780%, 	0.460000%, 	0.366780%
2020-04-08 18:43:13, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	81.925, 	0.00079334, 	58.43564969, 	0.839489%, 	0.460000%, 	0.379489%
2020-04-08 18:43:28, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000801, 	58.391, 	0.00079334, 	58.43564969, 	0.965538%, 	0.460000%, 	0.505538%
2020-04-08 18:43:43, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	23.461, 	0.00079316, 	80.0, 	0.862373%, 	0.460000%, 	0.402373%
2020-04-08 18:43:58, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	23.461, 	0.00079283, 	162.533304, 	0.904355%, 	0.460000%, 	0.444355%
2020-04-08 18:44:13, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	23.461, 	0.00079261, 	81.22100603, 	0.932363%, 	0.460000%, 	0.472363%
2020-04-08 18:44:28, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	23.461, 	0.00079248, 	51.24763031, 	0.948920%, 	0.460000%, 	0.488920%
2020-04-08 18:44:43, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	23.461, 	0.00079252, 	44.14651031, 	0.943825%, 	0.460000%, 	0.483825%
2020-04-08 18:44:58, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079253, 	29.96749366, 	0.942551%, 	0.460000%, 	0.482551%
2020-04-08 18:45:13, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079252, 	62.21202216, 	0.943825%, 	0.460000%, 	0.483825%
2020-04-08 18:45:28, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079245, 	29.97332402, 	0.952741%, 	0.460000%, 	0.492741%
2020-04-08 18:45:43, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079245, 	29.97332402, 	0.952741%, 	0.460000%, 	0.492741%
2020-04-08 18:45:58, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079271, 	29.95972783, 	0.919630%, 	0.460000%, 	0.459630%
2020-04-08 18:46:13, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.0008, 	30.061, 	0.00079298, 	59.90101432, 	0.885268%, 	0.460000%, 	0.425268%
